i_item_id|i_item_name|i_category_id|i_category_name|price_1|price_2|quantity
63|item#0063|5|cat#05|13.80|25.89|3
64|item#0064|8|cat#08|88.60|94.27|9
65|item#0065|10|cat#10|64.41|112.85|7
66|item#0066|13|cat#13|40.21|37.80|1
67|item#0067|16|cat#16|16.02|26.08|3
68|item#0068|18|cat#18|90.82|74.10|5
69|item#0069|1|cat#01|66.63|100.21|9
70|item#0070|4|cat#04|42.43|29.36|7
71|item#0071|6|cat#06|18.24|25.17|6
72|item#0072|9|cat#09|93.04|52.83|11
73|item#0073|12|cat#12|68.85|86.46|10
74|item#0074|14|cat#14|44.65|86.79|11
75|item#0075|17|cat#17|20.46|23.16|11
76|item#0076|19|cat#19|95.26|173.35|7
77|item#0077|2|cat#02|71.07|71.62|2
78|item#0078|5|cat#05|46.87|79.48|14
79|item#0079|7|cat#07|22.68|20.04|9
80|item#0080|10|cat#10|97.48|153.20|10
81|item#0081|13|cat#13|73.29|55.67|4
82|item#0082|15|cat#15|49.09|71.06|5
83|item#0083|18|cat#18|24.90|15.83|15
84|item#0084|0|cat#00|99.70|131.96|17
85|item#0085|3|cat#03|75.51|38.63|1
86|item#0086|6|cat#06|51.31|61.55|7
87|item#0087|8|cat#08|27.12|51.19|17
88|item#0088|11|cat#11|2.92|3.14|12
89|item#0089|14|cat#14|77.73|137.07|9
90|item#0090|16|cat#16|53.53|50.93|5
91|item#0091|19|cat#19|29.34|48.10|20
92|item#0092|2|cat#02|5.14|4.25|7
93|item#0093|4|cat#04|79.95|121.15|4
94|item#0094|7|cat#07|55.75|39.21|18
95|item#0095|9|cat#09|31.56|43.91|19
96|item#0096|12|cat#12|7.36|4.26|19
97|item#0097|15|cat#15|82.17|104.13|3
98|item#0098|17|cat#17|57.97|113.34|10
99|item#0099|0|cat#00|33.78|38.62|2
100|item#0100|3|cat#03|9.58|17.54|14
101|item#0101|5|cat#05|84.39|86.00|16
102|item#0102|8|cat#08|60.19|102.75|20
103|item#0103|10|cat#10|36.00|32.22|19
104|item#0104|13|cat#13|11.80|18.68|5
105|item#0105|16|cat#16|86.61|66.78|11
106|item#0106|18|cat#18|62.41|91.06|18
107|item#0107|1|cat#01|38.22|24.73|7
108|item#0108|4|cat#04|14.02|18.72|14
109|item#0109|6|cat#06|88.83|46.45|7
110|item#0110|9|cat#09|64.63|78.26|2
111|item#0111|12|cat#12|40.44|76.79|6
112|item#0112|14|cat#14|16.24|17.65|5
113|item#0113|17|cat#17|91.05|161.60|13
114|item#0114|19|cat#19|66.85|64.36|11
115|item#0115|2|cat#02|42.66|70.42|10
116|item#0116|5|cat#05|18.46|15.48|18
117|item#0117|7|cat#07|93.27|142.40|14
118|item#0118|10|cat#10|69.07|49.36|18
119|item#0119|13|cat#13|44.88|62.95|13
120|item#0120|15|cat#15|20.68|12.21|7
121|item#0121|18|cat#18|95.49|122.10|11
122|item#0122|0|cat#00|71.29|140.20|2
123|item#0123|3|cat#03|47.09|54.37|17
124|item#0124|6|cat#06|22.90|42.19|16
125|item#0125|8|cat#08|97.70|100.68|2
126|item#0126|11|cat#11|73.51|126.33|8
127|item#0127|14|cat#14|49.31|44.70|15
128|item#0128|16|cat#16|25.12|40.05|1
129|item#0129|19|cat#19|99.92|78.18|10
130|item#0130|1|cat#01|75.73|111.35|5
131|item#0131|4|cat#04|51.53|33.93|19
132|item#0132|7|cat#07|27.34|36.81|19
133|item#0133|9|cat#09|3.14|1.68|3
134|item#0134|12|cat#12|77.95|95.28|5
135|item#0135|15|cat#15|53.75|102.68|6
136|item#0136|17|cat#17|29.56|32.46|6
137|item#0137|0|cat#00|5.36|9.57|2
138|item#0138|3|cat#03|80.17|78.10|8
139|item#0139|5|cat#05|55.97|93.03|2
140|item#0140|8|cat#08|31.78|27.02|12
141|item#0141|10|cat#10|7.58|11.66|16
142|item#0142|13|cat#13|82.39|59.82|3
143|item#0143|16|cat#16|58.19|82.29|8
144|item#0144|18|cat#18|34.00|20.47|17
145|item#0145|1|cat#01|9.80|12.64|12
146|item#0146|4|cat#04|84.61|167.36|5
147|item#0147|6|cat#06|60.41|70.44|3
148|item#0148|9|cat#09|36.22|67.15|14
149|item#0149|11|cat#11|12.02|12.52|13
150|item#0150|14|cat#14|86.83|150.21|3
151|item#0151|17|cat#17|62.63|57.49|2
152|item#0152|19|cat#19|38.44|61.73|17
153|item#0153|2|cat#02|14.24|11.30|19
154|item#0154|5|cat#05|89.05|131.96|16
155|item#0155|7|cat#07|64.85|43.44|8
156|item#0156|10|cat#10|40.66|55.21|7
157|item#0157|13|cat#13|16.46|8.98|12
158|item#0158|15|cat#15|91.27|112.60|19
159|item#0159|18|cat#18|67.07|128.89|10
160|item#0160|0|cat#00|42.88|47.58|13
161|item#0161|3|cat#03|18.68|33.58|8
162|item#0162|6|cat#06|93.49|92.15|20
163|item#0163|8|cat#08|69.29|115.96|16
164|item#0164|11|cat#11|45.10|38.86|15
165|item#0165|14|cat#14|20.90|32.39|4
166|item#0166|16|cat#16|95.71|70.59|12
167|item#0167|19|cat#19|71.51|101.94|3
168|item#0168|1|cat#01|47.32|29.03|14
169|item#0169|4|cat#04|23.12|30.09|14
170|item#0170|7|cat#07|97.93|194.82|5
171|item#0171|9|cat#09|73.73|86.81|2
172|item#0172|12|cat#12|49.54|92.41|12
173|item#0173|15|cat#15|25.34|26.69|14
174|item#0174|17|cat#17|1.15|2.00|9
175|item#0175|0|cat#00|75.95|70.58|8
176|item#0176|3|cat#03|51.76|83.71|5
177|item#0177|5|cat#05|27.56|22.19|3
178|item#0178|8|cat#08|3.37|5.03|18
179|item#0179|10|cat#10|78.17|53.25|18
180|item#0180|13|cat#13|53.98|73.91|20
181|item#0181|16|cat#16|29.78|16.59|4
182|item#0182|18|cat#18|5.59|6.96|2
183|item#0183|1|cat#01|80.39|155.40|10
184|item#0184|4|cat#04|56.20|63.00|19
185|item#0185|6|cat#06|32.00|57.89|17
186|item#0186|9|cat#09|7.81|7.79|16
187|item#0187|11|cat#11|82.61|139.20|11
188|item#0188|14|cat#14|58.42|51.00|3
189|item#0189|17|cat#17|34.22|53.42|9
190|item#0190|19|cat#19|10.03|7.51|7
191|item#0191|2|cat#02|84.83|121.89|1
192|item#0192|5|cat#05|60.63|37.89|3
193|item#0193|7|cat#07|36.44|47.84|5
194|item#0194|10|cat#10|12.24|6.13|9
195|item#0195|12|cat#12|87.05|103.48|7
196|item#0196|15|cat#15|62.85|117.96|6
197|item#0197|18|cat#18|38.66|41.16|11
198|item#0198|0|cat#00|14.46|25.34|10
199|item#0199|3|cat#03|89.27|83.98|11
200|item#0200|6|cat#06|65.07|105.98|11
201|item#0201|8|cat#08|40.88|33.38|7
202|item#0202|11|cat#11|16.68|25.10|2
203|item#0203|14|cat#14|91.49|63.37|14
204|item#0204|16|cat#16|67.29|92.90|9
205|item#0205|19|cat#19|43.10|24.50|10
206|item#0206|1|cat#01|18.90|23.75|4
207|item#0207|4|cat#04|93.71|182.22|5
208|item#0208|7|cat#07|69.51|78.72|15
209|item#0209|9|cat#09|45.32|82.50|17
210|item#0210|12|cat#12|21.12|21.30|1
211|item#0211|15|cat#15|95.93|162.74|7
212|item#0212|17|cat#17|71.73|63.44|17
213|item#0213|0|cat#00|47.54|74.75|12
214|item#0214|2|cat#02|23.34|17.75|9
215|item#0215|5|cat#05|98.15|142.15|5
216|item#0216|8|cat#08|73.95|47.05|20
217|item#0217|10|cat#10|49.76|65.89|7
218|item#0218|13|cat#13|25.56|13.09|4
219|item#0219|16|cat#16|1.37|1.64|18
220|item#0220|18|cat#18|76.17|143.82|19
221|item#0221|1|cat#01|51.98|55.94|19
222|item#0222|4|cat#04|27.78|49.01|3
223|item#0223|6|cat#06|3.59|3.42|10
224|item#0224|9|cat#09|78.39|128.57|2
225|item#0225|11|cat#11|54.20|44.88|14
226|item#0226|14|cat#14|30.00|45.48|16
227|item#0227|17|cat#17|5.81|4.09|20
228|item#0228|19|cat#19|80.61|112.21|19
229|item#0229|2|cat#02|56.42|32.72|5
230|item#0230|5|cat#05|32.22|40.85|11
231|item#0231|7|cat#07|8.03|15.71|18
232|item#0232|10|cat#10|82.83|94.75|7
233|item#0233|12|cat#12|58.64|107.42|14
234|item#0234|15|cat#15|34.44|35.12|7
235|item#0235|18|cat#18|10.25|17.50|2
236|item#0236|0|cat#00|85.05|76.19|6
237|item#0237|3|cat#03|60.86|96.39|5
238|item#0238|6|cat#06|36.66|28.29|13
239|item#0239|8|cat#08|12.47|18.20|11
240|item#0240|11|cat#11|87.27|56.52|10
241|item#0241|14|cat#14|63.08|84.25|18
242|item#0242|16|cat#16|38.88|20.36|14
243|item#0243|19|cat#19|14.69|17.80|18
244|item#0244|1|cat#01|89.49|169.99|13
245|item#0245|4|cat#04|65.30|71.02|7
246|item#0246|7|cat#07|41.10|72.97|11
247|item#0247|9|cat#09|16.91|16.29|2
248|item#0248|12|cat#12|91.71|151.46|17
249|item#0249|15|cat#15|67.52|56.68|16
250|item#0250|17|cat#17|43.32|66.17|2
251|item#0251|0|cat#00|19.13|13.69|8
252|item#0252|2|cat#02|93.93|131.82|15
253|item#0253|5|cat#05|69.74|41.24|1
254|item#0254|8|cat#08|45.54|58.26|10
255|item#0255|10|cat#10|21.35|42.00|5
256|item#0256|13|cat#13|96.15|111.08|19
257|item#0257|16|cat#16|71.96|132.64|19
258|item#0258|18|cat#18|47.76|49.25|3
259|item#0259|1|cat#01|23.57|40.52|5
260|item#0260|3|cat#03|98.37|89.24|6
261|item#0261|6|cat#06|74.17|118.31|6
262|item#0262|9|cat#09|49.98|39.14|2
263|item#0263|11|cat#11|25.78|37.93|8
264|item#0264|14|cat#14|1.59|1.05|2
265|item#0265|17|cat#17|76.39|102.90|12
266|item#0266|19|cat#19|52.20|27.93|16
267|item#0267|2|cat#02|28.00|34.24|3
268|item#0268|5|cat#05|3.81|7.28|8
269|item#0269|7|cat#07|78.61|86.39|17
270|item#0270|10|cat#10|54.42|97.25|12
271|item#0271|12|cat#12|30.22|29.46|5
272|item#0272|15|cat#15|6.03|10.03|3
273|item#0273|18|cat#18|80.83|68.78|14
274|item#0274|0|cat#00|56.64|87.16|13
275|item#0275|3|cat#03|32.44|23.58|3
276|item#0276|6|cat#06|8.25|11.67|2
277|item#0277|8|cat#08|83.05|50.06|17
278|item#0278|11|cat#11|58.86|75.97|19
279|item#0279|13|cat#13|34.66|68.58|16
280|item#0280|16|cat#16|10.47|12.22|8
281|item#0281|19|cat#19|85.27|158.15|7
282|item#0282|1|cat#01|61.08|63.68|12
283|item#0283|4|cat#04|36.88|63.83|19
284|item#0284|7|cat#07|12.69|11.66|10
285|item#0285|9|cat#09|87.49|140.56|13
286|item#0286|12|cat#12|63.30|50.29|8
287|item#0287|15|cat#15|39.10|57.97|20
288|item#0288|17|cat#17|14.91|10.00|16
289|item#0289|0|cat#00|89.71|121.87|15
290|item#0290|2|cat#02|65.52|35.80|4
291|item#0291|5|cat#05|41.32|51.01|12
292|item#0292|8|cat#08|17.13|32.93|3
293|item#0293|10|cat#10|91.93|102.08|14
294|item#0294|13|cat#13|67.74|121.82|14
295|item#0295|16|cat#16|43.54|42.94|5
296|item#0296|18|cat#18|19.35|32.40|2
297|item#0297|1|cat#01|94.15|81.18|12
298|item#0298|3|cat#03|69.96|108.45|14
299|item#0299|6|cat#06|45.76|33.78|9
300|item#0300|9|cat#09|21.57|30.76|8
301|item#0301|11|cat#11|96.37|59.19|5
302|item#0302|14|cat#14|72.18|93.99|3
303|item#0303|17|cat#17|47.98|95.49|18
304|item#0304|19|cat#19|23.79|28.03|18
305|item#0305|2|cat#02|98.59|183.98|20
306|item#0306|5|cat#05|74.40|78.42|4
307|item#0307|7|cat#07|50.20|87.45|2
308|item#0308|10|cat#10|26.01|24.19|10
309|item#0309|12|cat#12|1.81|2.93|19
310|item#0310|15|cat#15|76.62|61.75|17
311|item#0311|18|cat#18|52.42|78.31|16
312|item#0312|0|cat#00|28.23|19.25|11
313|item#0313|3|cat#03|4.03|5.52|3
314|item#0314|6|cat#06|78.84|43.98|9
315|item#0315|8|cat#08|54.64|68.07|7
316|item#0316|11|cat#11|30.45|58.88|1
317|item#0317|13|cat#13|6.25|7.01|3
318|item#0318|16|cat#16|81.06|146.70|5
319|item#0319|19|cat#19|56.86|56.73|9
320|item#0320|1|cat#01|32.67|55.07|7
321|item#0321|4|cat#04|8.47|7.40|6
322|item#0322|7|cat#07|83.28|130.05|11
323|item#0323|9|cat#09|59.08|44.29|10
324|item#0324|12|cat#12|34.89|50.16|11
325|item#0325|14|cat#14|10.69|6.69|11
326|item#0326|17|cat#17|85.50|112.31|7
327|item#0327|0|cat#00|61.30|30.74|2
328|item#0328|2|cat#02|37.10|44.13|14
329|item#0329|5|cat#05|12.91|24.24|9
330|item#0330|8|cat#08|87.71|93.45|10
331|item#0331|10|cat#10|63.52|111.38|4
332|item#0332|13|cat#13|39.32|37.02|5
333|item#0333|16|cat#16|15.13|24.65|15
334|item#0334|18|cat#18|89.93|73.50|17
335|item#0335|1|cat#01|65.74|98.96|1
336|item#0336|3|cat#03|41.54|28.80|7
337|item#0337|6|cat#06|17.35|23.97|17
338|item#0338|9|cat#09|92.15|52.46|12
339|item#0339|11|cat#11|67.96|85.44|9
340|item#0340|14|cat#14|43.76|85.12|5
341|item#0341|17|cat#17|19.57|22.18|20
342|item#0342|19|cat#19|94.37|171.86|7
343|item#0343|2|cat#02|70.18|70.82|4
344|item#0344|4|cat#04|45.98|78.03|18
345|item#0345|7|cat#07|21.79|19.29|19
346|item#0346|10|cat#10|96.59|151.94|19
347|item#0347|12|cat#12|72.40|55.10|3
348|item#0348|15|cat#15|48.20|69.84|10
349|item#0349|18|cat#18|24.01|15.29|2
350|item#0350|0|cat#00|98.81|130.92|14
351|item#0351|3|cat#03|74.62|38.27|16
352|item#0352|6|cat#06|50.42|60.55|20
353|item#0353|8|cat#08|26.23|49.55|19
354|item#0354|11|cat#11|2.03|2.19|5
355|item#0355|13|cat#13|76.84|135.61|11
356|item#0356|16|cat#16|52.64|50.16|18
357|item#0357|19|cat#19|28.45|46.68|7
358|item#0358|1|cat#01|4.25|3.52|14
359|item#0359|4|cat#04|79.06|119.91|7
360|item#0360|7|cat#07|54.86|38.66|2
361|item#0361|9|cat#09|30.67|42.71|6
362|item#0362|12|cat#12|6.47|3.76|5
363|item#0363|14|cat#14|81.28|103.11|13
364|item#0364|17|cat#17|57.08|111.68|11
365|item#0365|0|cat#00|32.89|37.65|10
366|item#0366|2|cat#02|8.69|15.92|18
367|item#0367|5|cat#05|83.50|85.21|14
368|item#0368|8|cat#08|59.30|101.31|18
369|item#0369|10|cat#10|35.11|31.48|13
370|item#0370|13|cat#13|10.91|17.29|7
371|item#0371|16|cat#16|85.72|66.21|11
372|item#0372|18|cat#18|61.52|89.84|2
373|item#0373|1|cat#01|37.33|24.20|17
374|item#0374|3|cat#03|13.13|17.55|16
375|item#0375|6|cat#06|87.94|46.11|2
376|item#0376|9|cat#09|63.74|77.27|8
377|item#0377|11|cat#11|39.55|75.16|15
378|item#0378|14|cat#14|15.35|16.70|1
379|item#0379|17|cat#17|90.16|160.15|10
380|item#0380|19|cat#19|65.96|63.60|5
381|item#0381|2|cat#02|41.77|69.01|19
382|item#0382|4|cat#04|17.57|14.76|19
383|item#0383|7|cat#07|92.38|141.17|3
384|item#0384|10|cat#10|68.18|48.82|5
385|item#0385|12|cat#12|43.99|61.77|6
386|item#0386|15|cat#15|19.79|11.72|6
387|item#0387|18|cat#18|94.60|121.09|2
388|item#0388|0|cat#00|70.40|138.55|8
389|item#0389|3|cat#03|46.21|53.42|2
390|item#0390|5|cat#05|22.01|40.59|12
391|item#0391|8|cat#08|96.82|99.91|16
392|item#0392|11|cat#11|72.62|124.90|3
393|item#0393|13|cat#13|48.43|43.97|8
394|item#0394|16|cat#16|24.23|38.67|17
395|item#0395|19|cat#19|99.04|77.63|12
396|item#0396|1|cat#01|74.84|110.15|5
397|item#0397|4|cat#04|50.64|33.41|3
398|item#0398|7|cat#07|26.45|35.65|14
399|item#0399|9|cat#09|2.25|1.21|13
400|item#0400|12|cat#12|77.06|94.30|3
401|item#0401|14|cat#14|52.86|101.05|2
402|item#0402|17|cat#17|28.67|31.53|17
403|item#0403|0|cat#00|4.47|7.99|19
404|item#0404|2|cat#02|79.28|77.35|16
405|item#0405|5|cat#05|55.08|91.63|8
406|item#0406|8|cat#08|30.89|26.30|7
407|item#0407|10|cat#10|6.69|10.30|12
408|item#0408|13|cat#13|81.50|59.29|19
409|item#0409|15|cat#15|57.30|81.11|10
410|item#0410|18|cat#18|33.11|19.98|13
411|item#0411|1|cat#01|8.91|11.51|8
412|item#0412|3|cat#03|83.72|165.72|20
413|item#0413|6|cat#06|59.52|69.48|16
414|item#0414|9|cat#09|35.33|65.55|15
415|item#0415|11|cat#11|11.13|11.61|4
416|item#0416|14|cat#14|85.94|148.79|12
417|item#0417|17|cat#17|61.74|56.76|3
418|item#0418|19|cat#19|37.55|60.35|14
419|item#0419|2|cat#02|13.35|10.62|14
420|item#0420|4|cat#04|88.16|130.76|5
421|item#0421|7|cat#07|63.96|42.93|2
422|item#0422|10|cat#10|39.77|54.05|12
423|item#0423|12|cat#12|15.57|8.52|14
424|item#0424|15|cat#15|90.38|111.63|9
425|item#0425|18|cat#18|66.18|127.27|8
426|item#0426|0|cat#00|41.99|46.65|5
427|item#0427|3|cat#03|17.79|32.00|3
428|item#0428|5|cat#05|92.60|91.40|18
429|item#0429|8|cat#08|68.40|114.57|18
430|item#0430|11|cat#11|44.21|38.15|20
431|item#0431|13|cat#13|20.01|31.03|4
432|item#0432|16|cat#16|94.82|70.06|2
433|item#0433|19|cat#19|70.62|100.77|10
434|item#0434|1|cat#01|46.43|28.55|19
435|item#0435|4|cat#04|22.23|28.96|17
436|item#0436|7|cat#07|97.04|193.19|16
437|item#0437|9|cat#09|72.84|85.86|11
438|item#0438|12|cat#12|48.65|90.82|3
439|item#0439|14|cat#14|24.45|25.79|9
440|item#0440|17|cat#17|99.26|172.98|7
441|item#0441|0|cat#00|75.06|69.86|1
442|item#0442|2|cat#02|50.87|82.34|3
443|item#0443|5|cat#05|26.67|21.51|5
444|item#0444|8|cat#08|2.48|3.71|9
445|item#0445|10|cat#10|77.28|52.75|7
446|item#0446|13|cat#13|53.09|72.76|6
447|item#0447|15|cat#15|28.89|16.14|11
448|item#0448|18|cat#18|4.70|5.86|10
449|item#0449|1|cat#01|79.50|153.79|11
450|item#0450|3|cat#03|55.31|62.08|11
451|item#0451|6|cat#06|31.11|56.32|7
452|item#0452|9|cat#09|6.92|6.91|2
453|item#0453|11|cat#11|81.72|137.81|14
454|item#0454|14|cat#14|57.53|50.30|9
455|item#0455|16|cat#16|33.33|52.07|10
456|item#0456|19|cat#19|9.14|6.86|4
457|item#0457|2|cat#02|83.94|120.73|5
458|item#0458|4|cat#04|59.75|37.42|15
459|item#0459|7|cat#07|35.55|46.72|17
460|item#0460|10|cat#10|11.36|5.71|1
461|item#0461|12|cat#12|86.16|102.55|7
462|item#0462|15|cat#15|61.97|116.39|17
463|item#0463|18|cat#18|37.77|40.27|12
464|item#0464|0|cat#00|13.58|23.82|9
465|item#0465|3|cat#03|88.38|83.26|5
466|item#0466|5|cat#05|64.18|104.62|20
467|item#0467|8|cat#08|39.99|32.71|7
468|item#0468|11|cat#11|15.79|23.78|4
469|item#0469|13|cat#13|90.60|62.88|18
470|item#0470|16|cat#16|66.40|91.76|19
471|item#0471|19|cat#19|42.21|24.06|19
472|item#0472|1|cat#01|18.01|22.66|3
473|item#0473|4|cat#04|92.82|180.62|10
474|item#0474|6|cat#06|68.62|77.81|2
475|item#0475|9|cat#09|44.43|80.94|14
476|item#0476|12|cat#12|20.23|20.43|16
477|item#0477|14|cat#14|95.04|161.36|20
478|item#0478|17|cat#17|70.84|62.75|19
479|item#0479|0|cat#00|46.65|73.42|5
480|item#0480|2|cat#02|22.45|17.10|11
481|item#0481|5|cat#05|97.26|141.00|18
482|item#0482|8|cat#08|73.06|46.59|7
483|item#0483|10|cat#10|48.87|64.78|14
484|item#0484|13|cat#13|24.67|12.67|7
485|item#0485|15|cat#15|99.48|119.54|2
486|item#0486|18|cat#18|75.28|142.25|6
487|item#0487|1|cat#01|51.09|55.05|5
488|item#0488|3|cat#03|26.89|47.48|13
489|item#0489|6|cat#06|2.70|2.57|11
490|item#0490|9|cat#09|77.50|127.21|10
491|item#0491|11|cat#11|53.31|44.22|18
492|item#0492|14|cat#14|29.11|44.17|14
493|item#0493|16|cat#16|4.92|3.47|18
494|item#0494|19|cat#19|79.72|111.08|13
495|item#0495|2|cat#02|55.53|32.28|7
496|item#0496|4|cat#04|31.33|39.77|11
497|item#0497|7|cat#07|7.14|13.98|2
498|item#0498|10|cat#10|81.94|93.84|17
499|item#0499|12|cat#12|57.75|105.87|16
500|item#0500|15|cat#15|33.55|34.26|2
501|item#0501|18|cat#18|9.36|16.00|8
502|item#0502|0|cat#00|84.16|75.51|15
503|item#0503|3|cat#03|59.97|95.06|1
504|item#0504|5|cat#05|35.77|27.65|10
505|item#0505|8|cat#08|11.58|16.92|5
506|item#0506|11|cat#11|86.38|56.07|19
507|item#0507|13|cat#13|62.19|83.15|19
508|item#0508|16|cat#16|37.99|19.95|3
509|item#0509|19|cat#19|13.80|16.74|5
510|item#0510|1|cat#01|88.60|168.43|6
511|item#0511|4|cat#04|64.41|70.14|6
512|item#0512|6|cat#06|40.21|71.45|2
513|item#0513|9|cat#09|16.02|15.46|8
514|item#0514|12|cat#12|90.82|150.11|2
515|item#0515|14|cat#14|66.63|56.03|12
516|item#0516|17|cat#17|42.43|64.87|16
517|item#0517|0|cat#00|18.24|13.07|3
518|item#0518|2|cat#02|93.04|130.70|8
519|item#0519|5|cat#05|68.85|40.81|17
520|item#0520|7|cat#07|44.65|57.18|12
521|item#0521|10|cat#10|20.46|40.28|5
522|item#0522|13|cat#13|95.26|110.19|3
523|item#0523|15|cat#15|71.07|131.10|14
524|item#0524|18|cat#18|46.87|48.40|13
525|item#0525|1|cat#01|22.68|39.02|3
526|item#0526|3|cat#03|97.48|88.57|2
527|item#0527|6|cat#06|73.29|117.01|17
528|item#0528|9|cat#09|49.09|38.51|19
529|item#0529|11|cat#11|24.90|36.67|16
530|item#0530|14|cat#14|99.70|65.85|8
531|item#0531|16|cat#16|75.51|101.82|7
532|item#0532|19|cat#19|51.31|27.52|12
533|item#0533|2|cat#02|27.12|33.21|19
534|item#0534|4|cat#04|2.92|5.58|10
535|item#0535|7|cat#07|77.72|85.52|13
536|item#0536|10|cat#10|53.53|95.73|8
537|item#0537|12|cat#12|29.33|28.64|20
538|item#0538|15|cat#15|5.14|8.55|16
539|item#0539|17|cat#17|79.94|68.13|15
540|item#0540|0|cat#00|55.75|85.87|4
541|item#0541|3|cat#03|31.55|22.98|12
542|item#0542|5|cat#05|7.36|10.42|3
543|item#0543|8|cat#08|82.16|49.64|14
544|item#0544|11|cat#11|57.97|74.91|14
545|item#0545|13|cat#13|33.77|66.87|5
546|item#0546|16|cat#16|9.58|11.19|2
547|item#0547|19|cat#19|84.38|156.61|12
548|item#0548|1|cat#01|60.19|62.84|14
549|item#0549|4|cat#04|35.99|62.34|9
550|item#0550|6|cat#06|11.80|10.86|8
551|item#0551|9|cat#09|86.60|139.25|5
552|item#0552|12|cat#12|62.41|49.67|3
553|item#0553|14|cat#14|38.21|56.70|18
554|item#0554|17|cat#17|14.02|9.42|18
555|item#0555|0|cat#00|88.82|120.78|20
556|item#0556|2|cat#02|64.63|35.41|4
557|item#0557|5|cat#05|40.43|49.96|2
558|item#0558|7|cat#07|16.24|31.24|10
559|item#0559|10|cat#10|91.04|101.22|19
560|item#0560|13|cat#13|66.85|120.31|17
561|item#0561|15|cat#15|42.65|42.13|16
562|item#0562|18|cat#18|18.46|30.93|11
563|item#0563|1|cat#01|93.26|80.55|3
564|item#0564|3|cat#03|69.07|107.17|9
565|item#0565|6|cat#06|44.87|33.19|7
566|item#0566|9|cat#09|20.68|29.52|1
567|item#0567|11|cat#11|95.48|58.77|3
568|item#0568|14|cat#14|71.29|92.93|5
569|item#0569|16|cat#16|47.09|93.78|9
570|item#0570|19|cat#19|22.90|27.01|7
571|item#0571|2|cat#02|97.70|182.45|6
572|item#0572|4|cat#04|73.51|77.59|11
573|item#0573|7|cat#07|49.31|85.97|10
574|item#0574|10|cat#10|25.12|23.40|11
575|item#0575|12|cat#12|99.92|161.81|11
576|item#0576|15|cat#15|75.73|61.14|7
577|item#0577|17|cat#17|51.53|77.05|2
578|item#0578|0|cat#00|27.34|18.68|14
579|item#0579|3|cat#03|3.14|4.31|9
